id,title,affiliation,comment,attachment_summary,attachment_affiliation
FS-2018-0059-8960,Comment on FR Doc # 2018-18937,Backcountry Hunters & Anglers,"As a supporter of Backcountry Hunters & Anglers and our wild public lands, waters and wildlife, I am very concerned with the rule-making process announced in Federal Register Document Number 2018-18937. I am writing these comments to strongly encourage you to maintain Roadless Area protections for the Tongass and all of America's national forests. These public lands and waters are prized by sportsmen and women and are a mainstay of Alaska's economy. Nationally they help drive an $887 billion economic engine from outdoor recreation like hunting and fishing. <br/><br/>At nearly 17 million acres, the Tongass is the nation's largest national forest and the world's largest remaining intact coastal temperate rainforest. Of that wild backcountry, 9.3 million acres are inventoried roadless areas providing high quality habitat for a unique diversity of sought-after game species, including mountain goats, black-tailed deer and both brown and black bears. The Tongass also encompasses thousands of miles of salmon-rich waterways, legendary among anglers and fundamental to the state's commercial salmon industry. The commercial fishing sector alone relies on the Tongass for more than 80 percent of its salmon and employs more than 4,300 people in the region, accounting for 9 percent of the area's entire employment. By contrast, timber production accounts for only 1 percent of the region's jobs.<br/><br/>If done poorly, a state rule-making process could set a slippery precedent that unravels Roadless Rule protections for fish and wildlife across all of our nation's wild roadless forest lands including the Chugach National Forest just to the north and west. If any state rule-making process does move forward, the 2001 Roadless Rule should be the benchmark for improvements so that roadless policies only enhance the most important fish and wildlife habitats while preventing new development, road building and resource extraction.<br/><br/>Currently, these valuable resources are upheld by the Roadless Area Conservation Rule, a collaborative management approach adopted following one of the most extensive public engagement campaigns in the history of federal rulemaking. I implore you to maintain the integrity of what may be America's best and most popular land management rule in history. The costs to American taxpayers for road building and unconscionably subsidized resource extraction are too high, not to mention the irreparable impact to wildlife, water and outdoor traditions like hunting and fishing.",,
HHS-OS-2019-0014-104148,Comment on FR Doc # 2019-24385,American Civil Liberties Union,"People who are LGBTQ, all women, and people of minority faiths deserve fair treatment in accessing critical government services. The new rule would make these groups vulnerable to discrimination -- and in the process, it would subvert our inclusive values as a country. I urge you to withdraw the proposed rule. ",,
FDA-2017-D-6580-12344,Request for Extension from Rebekah Callahan,None,"As a supporter of Americans for Homeopathy Choice, I request that the FDA grant a 180-day extension to the Notice-and-Comment Period for this Draft Guidance. I and my fellow homeopathy supporters commend the FDA for listening to the homeopathy community and posting a revised Draft Guidance rather than finalizing the previous one. However, we believe that the revised guidance raises many new questions that require considerable clarification by parties interested in the regulation of homeopathy and therefore ask that additional time be granted in order to obtain that clarification.<br/><br/>Specifically, those areas needing clarification have been set out by Americans for Homeopathy Choice and include the following:<br/><br/>1. The FDA claims that it has the authority to withdraw any and all generic name homeopathic medicines from the marketplace across all manufacturers without first proving that such medicines pose a danger to the public.<br/><br/>We understand ""generic name homeopathic medicines"" to mean substances diluted in accordance with homeopathic guidelines using diluents recognized as safe for such purposes such as sterile water, alcohol or glycerin so as to be nontoxic to humans and which are recognized by the Homeopathic Pharmacopoeia of the United States and its supplements. These generic name homeopathic medicines may be included in branded single medicine homeopathic products such as Chamomilla (chamomile) or included in products which contain more than one generic name homeopathic medicine, often called combination products.<br/><br/>2. We would like the FDA to distinguish the claim of authority in item 1 from the FDA's authority to withdraw manufacturer-branded, distributor-branded, and store-branded homeopathic products or lots thereof which are improperly manufactured and/or labeled. Improperly manufactured and/or labeled products claiming to be homeopathic may pose a danger to the public precisely because they do not meet homeopathic standards. We would like the FDA to comment on our belief that these improperly manufactured and/or labeled substances are the products that concern the FDA and would like a clarification from you about the accuracy of this belief.<br/><br/>We believe that the problems with these products may be because of their concentration, their labeling instructions or their purity or because they are mixed with active ingredients that are not recognized as homeopathic. Does the FDA, in fact, acknowledge 1) that the problem in these cases results from products that have been labeled as homeopathic but which are NOT homeopathic and 2) that any concerns reflect solely on the manufacturer, distributor or store and cannot be attributed to the generic name homeopathic medicines purported to be in the products? If not, why not?<br/><br/>3. The FDA claims that homeopathic medicines are ""new drugs"" under the Food, Drug and Cosmetic Act of 1938 and its amendments. We would like more information on how the FDA arrived at this conclusion, particularly whether federal law states anywhere that homeopathic medicines are ""new drugs.""<br/><br/>4. The FDA claims that its risk-based approach to regulating homeopathic medicines will, in fact, reduce risk. We would like more information about how withdrawing nontoxic, inherently safe, properly manufactured and labeled homeopathic medicines would reduce risk to consumers who 1) gain benefit from them for various conditions and 2) more specifically, desire to treat illnesses and infections without risking antibiotic resistance and wish to treat pain without risking opioid dependence and death.<br/><br/>We would like more information on why the FDA believes it would reduce risk to consumers by focusing additional enforcement resources on properly manufactured and labeled homeopathic medicines (which are by design nontoxic and inherently safe) instead of on pharmaceuticals and medical devices which have inherent dangers even when they are properly manufactured and labeled.<br/><br/>Americans for Homeopathy Choice has asked for clarifications on these issues. We support obtaining clarifications on these points.<br/><br/>To allow enough time to obtain these clarifications, I once again ask the FDA to grant a 180-day extension to the Notice-and-Comment Period for this Draft Guidance.",,
CMS-2023-0144-15999,Comment on CMS-2023-0144-0001,AFSCME,"Administrator Chiquita Brooks-LaSure,<br/><br/>Administrator Brooks-LaSure,<br/><br/>I am writing to support a national minimum staffing standard for nursing homes. This will improve working conditions and the quality of care for nursing home residents. It also will hold nursing home owners accountable for putting cost cutting and profits above patients and workers.<br/><br/>We all deserve to be treated with dignity and respect. This is especially true for people who need nursing home care and those who do the important, challenging work of caring for them. The proposed rule is a good start.<br/><br/>I agree with requiring a registered nurse to always be on site. I also agree with setting staffing requirements for nurse aides and registered nurses. These are common-sense requirements.<br/><br/>You should also make the rule stronger. To do this, you should:<br/><br/>Require nursing homes to have a minimum number of licensed practical nurses or licensed vocational nurses (LPNs/LVNs). These health care professionals also provide valuable care in nursing homes.<br/><br/>Increase the minimum staffing requirement above what you have proposed. Taking good care of nursing home residents requires more staff to provide the basic support they need and deserve.<br/><br/>Make sure these requirements are enforced. Without that, a rule doesn’t mean much.<br/><br/>I urge you to make these changes and quickly put out a final rule.<br/><br/>Sincerely,<br/><br/>Brian Devine<br/>bdevine@afscme.org<br/>1947 Columbia Pike<br/>Arlington, Virginia 22204",,
PHMSA-RSPA-2002-11654-0032,"United Parcel Service, Inc. - Comments","United Parcel Service, Inc.",,,
FAA-2020-0862-0253,Comment from Ametros Financial Corporation,Ametros Financial Corporation,See attached file(s),,
HUD-2020-0047-1095,Comment Submitted by Kinsey Kolega,Case Western Reserve University,"I am a nurse practitioner student at Case Western Reserve University. In order for healthcare practitioners to be able to do their jobs and take care of patients, we first need to end the disparities faced by vulnerable populations. Transgender individuals face higher levels of violence, homelessness, and suicide. Removing protections for transgender individuals (during a global pandemic no less), is frankly disgusting and inhumane. I urge you to increase access to safe housing and to increase resources allocated to combating homelessness for EVERYONE.",,
CMS-2018-0077-0228,"RX Home Health Services, Inc--FL","RX Home Health Services, Inc--FL","I have been committed to the home health care industry for almost 40 years. The collective impact of the changes that are being proposed will destroy thousands of small business across the country who have been dedicated to providing high quality home health services to our valued seniors. As an example the Request for Anticipated Payment (RAP) has financed the quality care that has been provided to the Greatest Generation. Many small HHAs like mine depend on RAPs because of the time it takes to bill final claims as well as paying field staff for services rendered. I have heard that there is a significant percentage of home health agencies across the country that do not bill the rap till late in the episode or even before the final claim. I am sure if you looked more closely you would see that those agencies have broken processes and are not running efficiently. They might be providing quality care but you could argue that they are sloppy and lax in their billing and processing of claims. Please do not penalize honest hardworking providers just because some agencies are able to limp along without the RAP. I must also point out that physicians continue to be a major factor in delaying the billing and payment of final claims. It is not a priority for them and they simply do not care. In addition, the level of chart review and inspection (QA) has created an even greater expense for small agencies because of the new Conditions for Participation. One of two full time equivalents (FTEs) had to be hired in order to ensure compliance where in the past the Director of Nursing could QA patient records in preparation to bill final claims. Many of the proposed changes disproportionality hurt the smaller agencies and those are the vary agencies that take any patient that is referred to them. Many of the larger organizations are far more selective in the type of referrals they desire and accept. These changes will undoubtably drive many providers out of business but will that truly accomplish what you desire? Will it serve the needs of seniors if the home care agencies that remain are not as committed to serving all patients.<br/>So please reconsider the new payment options you are proposing and think about what type of agencies will be able to survive this upheaval. It may not be who you really want or need to meet the huge demand of care in the near future.<br/>Sincerely,<br/><br/>Drake R. Torrado<br/>Owner/ Administrator<br/>RX Home Health Services<br/>North Miami, Fl.",,
DHS-2006-0073-0098,"Comment Submitted By Peter T. King, Ranking Member, U.S. House of Representatives",U.S. House of Representatives,,,
HHS-OCR-2023-0001-1165,"Comment from Mnich, Jennie, HHS-OCR-2023-0001, HHS-OCR-2023-0001-0001, 2022-28505",None,"My Catholic faith teaches me to serve all in need, without regard to race, religion, sex, or any other characteristic, because we believe that health care is a basic human right. The same core beliefs about human dignity that motivate Catholics like me to care for the sick also mean that we object to participating in abortions and other harmful medical procedures. These commitments are inseparable.<br/><br/>I join the USCCB in supporting the proposed rule as an improvement over the current status quo in which the 2019 Rule is not in place, but I also urge the Department to strengthen the proposed rule in ways available to it, as discussed in the USCCB’s published comments.",,
IRS-2013-0038-115390,"Comment from Friend %%, Faith and Freedom Coalition",Faith and Freedom Coalition,"Grassroots issue groups operating under Section 501(c)(4) are part of a long and celebrated tradition of freedom of association and speech that is central to American democracy.  They combine like-minded Americans to influence public opinion and policy.  It is impossible to imagine the American people exercising their First Amendment rights otherwise.  Any regulation affecting the ability of such groups to organize and inform citizens should be undertaken with great caution, and only when there is a compelling state interest. These regulations do not meet that standard.<br/>",,
CMS-2017-0141-0283,DC -- Habilitation Benefits Coalition (HAB),Habilitation Benefits Coalition (HAB),"The undersigned members of the Habilitation Benefits (HAB) Coalition appreciate the opportunity to comment on the proposed rule HHS Notice of Benefit and Payment Parameters for 2019 (the Proposed Rule).<br/><br/>The HAB Coalition is a group of national nonprofit consumer and clinical organizations focused on securing and maintaining appropriate access to, and coverage of, habilitation benefits within the category known as ""rehabilitative and habilitative services and devices"" in the EHB package under the Patient Protection and Affordable Care Act (ACA), Section 1302.<br/><br/>Attached, please find a copy of HAB Coalition's comments on the Proposed Rule. ",,
CEQ-2019-0003-192978,"MM50 Comment Submitted by Robert Meyer, WildEarth Guardians",WildEarth Guardians,"<br/>Mar 8, 2020<br/><br/>Council on Environmental Quality (CEQ)<br/><br/>Dear Quality (CEQ),<br/><br/>I oppose and object to the proposed revisions to regulations<br/>implementing the National Environmental Policy Act (Rulemaking Docket<br/>ID. CEQ-2019-0003).<br/><br/>The proposed revisions are an unacceptable attack on the public's right<br/>to be informed of the environmental impacts of the federal government's<br/>actions and to hold the government accountable to protecting the<br/>environment.<br/><br/>The American public relies on the National Environmental Policy Act to<br/>ensure their communities are protected, their air is clean, their water<br/>pure, and their outdoors safeguarded.<br/><br/>The proposed rules would let the government off the hook when it comes<br/>to environmental disclosure and encourage less transparency.  This is<br/>not acceptable.<br/><br/>Current National Environmental Policy Act rules have been on the books<br/>for nearly 40 years. They work and they've served to protect the<br/>public, foster a healthier environment, and drive policy changes that<br/>have made communities and the world a better place.<br/><br/>Please leave these rules alone and abandon your plans to revise them.<br/><br/>Sincerely,<br/><br/>Robert Meyer<br/>4421 Baker Ave NW<br/>Seattle, WA 98107<br/>meyerrw@mac.com<br/><br/>",,
FWS-R9-ES-2008-0093-33412,Comment on FR Doc # E8-18938,Center for Biological Diversity,"I am writing to most strongly urge you to STOP the changes to longstanding regulations implementing the Endangered Species Act you recently proposed. These changes would drastically weaken the interagency consultation provision of the Endangered Species Act -- widely considered the most important and effective provision of the Act -- and also undercut the Endangered Species Act's proper role in addressing the impacts of climate change on our nation's most imperiled wildlife. <br/><br/>For 35 years the Endangered Species Act has protected imperiled species from the effects of potentially harmful federal projects. The strength of the Endangered Species Act has been the checks and balances created by interagency consultation between federal agencies that build roads, issue logging permits, and lease oil and gas rights among other projects, and the U.S. Fish and Wildlife and National Marine Fisheries Services, whose primary responsibility is the conservation of endangered species. <br/><br/>Interagency consultation ensures that federal projects that may impact America's most imperiled wildlife are independently reviewed by federal wildlife experts and project modifications are made where necessary. In the overwhelming majority of consultations federal projects move forward with little or no significant changes.<br/><br/>The regulations you recently proposed would eliminate interagency consultation on thousands of federal projects that pose a risk to endangered and threatened species each year. The changes will almost certainly result in detrimental impacts on endangered and imperiled species and a higher propensity to overlook opportunities to avoid such impacts.<br/><br/>Notwithstanding the fact that these are the most significant changes to regulations implementing the Endangered Species Act in more than 20 years, you have provided the public just 30 days in which to submit comments, not the traditional 90, and prevented anyone from sending their comments by email. <br/><br/>I request you set an additional 60 days to allow the public an opportunity to meaningfully comment on these proposed regulations.<br/><br/>I again strongly  urge you to not to finalize these regulatory changes. <br/><br/>Thank you.",,
BIS-2018-0006-142986,BIS-2018-0006-122198 - Hy Quality Alloys - Carbon and Alloy Long - HTS 7228308045 - Objection 1,TimkenSteel Corporation,See attached.,,
FWS-R9-ES-2008-0093-55370,Comment on FR Doc # N/A,Center for Biological Diversity,"Dear U.S. Fish and Wildlife Service Directors,<br/><br/>The most obvious problem with this Draft Environmental Assessment is that it doesn't consider certain information that is vital to properly and thoroughly analyzing the proposed action at hand: the proposed regulations changes to Section 7 of the Endangered Species Act.<br/><br/>The Draft Assessment unlawfully ignores global warming and climate change's profound impact on threatened and endangered species. Many species already listed as threatened or endangered are being affected by global climate change -- including, but certainly not limited to, the Sonoran pronghorn, piping plover, tidewater goby, grizzly bear, Quino checkerspot butterfly, desert tortoise, and Pitcher's thistle.<br/><br/>In this Draft Environmental Assessment, global warming information -- including recovery plans that explicitly mention global warming as threats -- is ignored entirely.  This purposeful blind eye is unquestionably unlawful given the main purpose of the Endangered Species Act: to recover listed species.<br/><br/>The alternatives in the draft document are illegally limited. It is evident from the proposed rule and the Draft Environmental Assessment that the agencies looked only at a preferred alternative of amending the well-established and largely successful Section 7 regulations.  The law requires you to take a hard look at the no-action alternative as well as other reasonable alternatives.  <br/><br/>The agencies must prepare a Draft EIS to better understand the environmental consequences of their action. The magnitude of federal agency involvement in the Endangered Species Act Section 7 process, and the agencies' own admission that their goal is to greatly reduce these consultations, by itself necessitates the issuance of a draft Environmental Impact Statement and fuller understanding of the impacts of this proposed rule.  <br/><br/>The consequences of this proposed rule would be massive, affecting over 1,000 listed species threatened with extinction, and hundreds of millions of acres of imperiled wildlife habitat.  The scope of this rule change cannot be overstated in very real practical terms.  <br/><br/>I ask that you extend the timeline for comments and issue an Environmental Impact Statement.<br/><br/>Thanks for your consideration.",,
ETA-2019-0005-124888," - DeLuise, Vincent",LIUNA,"My union apprenticeship will start me in a great career as a laborer living in Florida, NY, with no student debt.<br/> <br/>LIUNA and our partner contractors invest millions of dollars every year in high quality training, to meet the workforce needs of the construction industry.<br/> <br/>Do not open the system to scammers who will lower standards, make money off the backs of apprentices, and encourage contractors to cut corners.<br/> <br/>Let's continue to exclude construction industry workers from IRAP.<br/><br/>Registered apprenticeships must meet journeymen graduation standards and have nationally recognized certifications and credentials whereas IRAPs are not national recognized or portable. In fact, these programs are poorly defined, have lax training and performance standards, no graduation or completion requirements, and no widespread recognition of certifications or credentials.",,
PTO-C-2020-0055-0467,Comment from  Japan Patent Attorneys Association(JPAA),Japan Patent Attorneys Association(JPAA),This comments from Japan Patent Attorneys Association(JPAA),,
ED-2010-OPE-0009-0058,Comment on FR Doc # 2010-17313,Ross University,See attached file(s),,
EOIR-2020-0003-13164,Comment on FR Doc # 2020-12575,"Montclair Presbyterian Church, Oakland, Ca",Let us keep our current procedures re: asylum.  Let no one destroy one of the hallmarks of our democracy.,,
BOEM-2022-0033-0053,Comment from Fisheries Survival Fund,Fisheries Survival Fund,Please see attached pdf.,,
DOS-2014-0003-123291,Comment on DOS-2014-0003-0001,BKM Strategies,"Dear Secretary Kerry:<br/><br/>I'm writing to encourage you to approve the construction of the Keystone XL Pipeline as quickly as possible.  The pipeline will provide much needed, good paying jobs for our economy while ensuring our country’s energy and national security.<br/><br/>Please act now.  We cannot afford to wait any longer.",,
OSHA-H371-2006-0935-0902,"18-53-G: SHEA-CDC TB SURVEY, PART I: STATUS OF TB INFECTION CONTROL PROGRAMS AT MEMBER HOSPITALS, 1989-1992",UNION AFSCME,"BARAB JORDAN, UNION AFSCME; BARAB JORDAN, UNION AFSCME; BARAB JORDAN, UNION AFSCME; BARAB JORDAN, UNION AFSCME; BARAB JORDAN, UNION AFSCME",,
ETA-2019-0005-140702," - Yousefi, Narbeh",None,"It took me years to finish my apprenticeship with the United Association and I have 8 years of service to the organization. Industry Programs aren't right for the construction industry because we need highly-trained workers to build America's infrastructure.  The United Association and the contractors we work with build billions of dollars' worth of projects each year. These projects get done right and on-time because of well-trained people like me who adhere to the highest level of construction standards. I support the Department of Labor's decision to keep Industry Programs out of the construction industry so that future generations of apprentices will receive the same excellent skills training I received.<br/><br/>The current rules for registered apprenticeship make it possible for people like me to earn a good living and achieve the American Dream, while getting the best possible training available. As I understand the proposed rules for Industry Programs, the standards for training won't be as rigorous and apprentices could be paid the minimum wage. If this system is permitted in the construction industry, highly trained American workers will be replaced with poorly trained, underpaid workers, who could be easily exploited by unscrupulous contractors. These Industry Programs have no place in the construction industry.<br/><br/>Excluding construction from Industry Programs is a smart move.  Preserving the registered apprenticeship program will ensure that future apprentices get the training they will need to work on the complex construction projects that are necessary to rebuild America's infrastructure. <br/><br/>Narbeh Yousefi",,
ETA-2019-0005-214691," - Valles, Martin",Heat and Frost Insulators Union,"I am a Mechanical Insulator with the Heat and Frost Insulators Union. A Federal and State Registered Union Apprenticeship gave me the professional craftsmanship skills to earn a good living wage with health and retirement benefits. <br/><br/>I work with other union members, who received the same great Union Registered Apprenticeship training as I did. This means we perform efficient, high quality work and keep each other safe on the job-site by avoiding unnecessary accidents and injuries. <br/><br/>Thanks to our Insulators Union Registered Apprenticeship Program, I earn good wages and excellent health and retirement benefits, which allow me to support my family financially.<br/><br/>The education I received through the Heat and Frost Insulators Union Registered Apprenticeship Program changed my life. Since my first day as a registered apprentice, I have been able to support my family and secure my future thanks to the union's excellent wage and benefits package.  In my area, there are few good paying jobs that do not require a college degree. Especially ones that come with the industry's best training and education, in addition to great wages and benefits. In my trade, like many other union construction trades, quality training makes a difference. If contractors and project owners hire a poorly trained construction workforce, it creates an unsafe workplace, putting everyone's lives in jeopardy. If those same poorly trained workers are paid less, it undermines the competitive bidding process, reducing my ability to support my family. Simply put, Insulators who complete the Union's Registered Apprenticeship Program earn a livable wage and benefits because they are providing quality workmanship that allows projects to be completed on time and on or under budget. I strongly support keeping IRAPs out of the construction industry permanently.<br/><br/>There is an ongoing need for proper oversight and regulation by federal and state governments pertaining to construction industry apprenticeship programs. Through a Registered Union Construction Industry Apprenticeship Program, men and women will learn the skills needed to be successful in an industry where safe, quality and efficient work is valued on a day-to-day basis.<br/><br/>I give my full support to continued oversight and regulations by Federal and State governments on ALL construction Apprenticeship Programs.<br/><br/>Martin Valles,<br/>Mechanical Insulator, Insulators Union<br/>1 years of service",,
HHS-OS-2018-0008-122090,Comment on FR Doc # 2018-11673,Faith & Freedom Coalition,"Im writing to officially register my strong support for the Compliance With Statutory Program Integrity Requirements (HHS-OS-2018-0008), better known as the Protect Life Rule. Under current federal regulations, abortion groups like Planned Parenthood are able to receive family planning funds under Title X. This new rule would end that funding. As a pro-life American I strongly believe that abortion groups should not receive taxpayer funds. And Im not alone: 82% of Americans believe there should be restrictions on abortion in some or all cases and 60% of Americans agree: taxpayers should not fund abortion. I urge you to stand with the American peopleand do whats rightby approving the Protect Life Rule as quickly as possible.",,
CFPB-2013-0004-3206,Comment on CFPB-2013-0004-0001,Young Invincibles,"Please describe in detail your experience trying to work with your private lender in<br/>gaining affordable payment options, particularly when payments were causing you distress. <br/><br/>I was unemployed for quite some time after the 08 crash, and had lenders calling<br/>constantly trying to coerce me into giving money I simply didn't have.  Because a family<br/>member is a cosigner, they continually tried to pressure me to have him (an elderly<br/>retiree) pay instead of me-- but he could no more afford these inflated payments than I<br/>could.  After being bullied into giving what money I had, and having my phone shut off as<br/>a result, I finally managed to get someone on the phone who actually heard the fact that I<br/>was unemployed, desperately seeking work, and didn't tell me to go help someone move in<br/>order to get $50 to feed directly to REDACTED (which is seriously a suggestion I got from<br/>one of those people, once).  This person actually heard me, and finally managed to get me<br/>through the forbearance process, waiving the several hundred dollars in fees that had kept<br/>me from being able to get through it initially. <br/><br/>How would you best describe your overall impression of your private loan provider? Would<br/>you consider personnel to be professional and fair or unprofessional and difficult to work<br/>with?<br/><br/>Definitely difficult to navigate, and professionalism depends on who you get on the phone.<br/> Professionalism aside, even sometimes you get people on the phone who simply don't<br/>respond to you as a human being.",,
ETA-2019-0005-108155," - Browning, Jonathan",IUOE,"I have been a journeyman with the IUOE for 1 years. Industry-registered apprenticeship programs are not right for the construction industry. We need highly trained workers to build America's infrastructure so we build it safe, on time and on budget. I support the Department of Labor's decision to exclude construction from industry-recognized apprenticeship programs so that future generations of apprentices continue to receive excellent skills training.<br/><br/>If construction were included in the proposed industry-registered apprenticeship programs, it would allow greedy unscrupulous contractors to lower our standards, cut corners, and boost profits on the backs of their workers. Allowing training programs that do not meet the standards required of registered programs would undercut my training and effort.  My local union, and other IUOE local unions across the country, invest a tremendous amount of money every year training members at state-of-the-art facilities. Our programs produce the most highly skilled Operating Engineers in the construction industry. Don't change something that works.<br/><br/>Excluding construction from industry-registered apprenticeship programs is a smart move. Preserving the registered apprenticeship program will ensure that future apprentices get the training they need to work on the complex construction projects that are necessary to rebuild America's infrastructure.<br/><br/>Jonathan Browning ",,
OFCCP-2019-0003-34348,Comment on FR Doc # 2019-17472,American Civil Liberties Union,"I strongly urge the Department of Labor to reject the proposed rule allowing employers contracting with the federal government to discriminate against LGBTQ people and other groups. The proposed rule would turn our country's founding principle of religious liberty into a license to discriminate  with our taxpayer dollars. <br/> <br/>Current, longstanding nondiscrimination protections are about ensuring that every person can earn a living, provide for their families, and safely go about their daily lives without fear of repercussion for who they are. <br/> <br/>Discrimination has no place in this country. Reject the proposed rule.",,
EPA-HQ-OAR-2016-0004-0245,"Comment submitted by Colin Hastings, Executive Director, Pasco Chamber of Commerce",Pasco Chamber of Commerce,"June 17, 2016<br/><br/>Ms. Julia MacAllister<br/>EPA Office of Transportation and Air Quality<br/>Assessment and Standards Division<br/>2000 Traverwood Drive<br/>Ann Arbor, MI 48105<br/><br/>Docket ID No. EPA-HQ-OAR-2016-0004<br/><br/>Dear Ms. MacAllister,<br/><br/>As the Executive Director of the Pasco Chamber of Commerce I am writing to voice my concern about the proposed Renewable Fuel Standard (RFS) for 2017 that could lead to ethanol volumes blended into gasoline that exceed 10 percent. <br/><br/>Higher ethanol volumes blended into fuel will negatively impact many of my members in agricultural businesses, and other business using gasoline and diesel powered engines. Blending ethanol at levels higher than 10% has been proven to harm many conventional engines. This could damage farm equipment and other commercial vehicles not to mention what it can do the many personal vehicles. Furthermore these ethanol fuel levels are meant to promote fuels such as E85 for which there is negligible demand.<br/><br/>The existing standard has already had the unintended consequence of raising the cost to agricultural businesses which rely on corn for feed, and I am concerned that the proposed standards may only continue to raise costs. <br/><br/>The Renewable Fuel Standard has been based on a number of flawed assumptions. At this point I believe the best course of action is for Congress to fix RFS legislatively. In the short term I ask that the EPA lower the ethanol blending requirements and to set the final ethanol level below 10 percent.<br/><br/>Sincerely, <br/> <br/>Colin Hastings<br/>Executive Director<br/>Pasco Chamber of Commerce",,
ICEB-2015-0002-1265,"Comment Submitted by Chengwei Li, University of Southern California",University of Southern California,"I think it's a good rule. Both the US and F1 students can benefit from it. <br/>Since US lacks of engineers, especially in Computer Science and Electrical Engineering fields, if more F1 students get a job due to the OPT extension, this problem can be solved.",,
VA-2016-VHA-0011-142267,AP44 Proposed Rule-Comment Submission,None,"Dear Secretary Robert A. McDonald:    As a healthcare provider, I believe that the VA can better serve our nation's Veterans by allowing Advanced Practice Registered Nurses (APRNs) to provide care to the full extent of their education and training. By formalizing this evidence-based policy, the VHA will have greater flexibility to utilize all providers within the healthcare team, make smarter use of the 6,000 APRNs it currently employs, and improve access to quality care for the Veterans it serves.<span style='padding-left: 30px'></span>Sincerely,  roger hanley  5005 SW Malcom Rd  Lawton, OK 73505-9701 <br/>",,
SSA-2018-0026-74404,"Comment from Levinton, J, ",None,"Andrew Saul,<br/><br/>The proposed rule you are considering will drastically increase denials of Social Security Disability benefits.  It will cause seriously ill individuals to lose desperately needed benefits, the vast majority of whom will not be able to replace the income from SSDI with earnings.  The large increase in disability reviews in this proposal will result in unwarranted denials.  <br/><br/>A similar approach was taken under the Reagan Administration, with such inhumane results that the policy was reversed after a public outcry when its harm became known.  The Reagan Administration terminated benefits of 315,000 people.  Nearly two-thirds of these denials were reversed.  Among those who lost benefits, 21,176 died.  <br/><br/>The Reagan Administration then and the current Administration now assume those denied will go to work, but studies, including research cited in the proposed rule itself, show that only a small minority will have even modest earnings.  At least two-thirds or more will not be able to work because their health impairments are severe.  With the evidence of the aborted Reagan policy and of more recent research showing clearly the harmful consequences of the rule, it is incomprehensible that it is now being put forward.  I strongly urge you to withdraw this proposed rule. <br/><br/>J Levinton<br/>jlevinton@aol.com<br/>2514 E 29th St.<br/>BROOKLYN, New York 11235",,
IRS-2023-0041-15402,"Comment from Moore, Matthew",None,"I am writing to express profound concerns regarding the proposed IRS rule defining “broker” within the digital asset industry.<br/>As written, the rule’s broad definition of “broker” would include numerous actors within the digital asset industry that in no way fit the traditional understanding of the term. The inclusion of certain decentralized platforms betrays a misunderstanding of how peer-to-peer networks function and would create unmeetable burdens for innovative platforms that empower individuals, families and businesses across the country.<br/>This rule will force decentralized platforms to centralize operations, restrict much needed innovation and threaten economic growth by forcing digital asset providers overseas. This rule will put the put the IRS directly into user wallets and threaten the privacy and security of law-abiding Americans. Finally, this rule will devastate U.S. global competitiveness in innovation.<br/>I urge you to withdraw this misguided rule.",,
FNS-2022-0043-48587,Comment on FR Doc # 2023-02102,None,"Dear Tom Vilsack,<br/><br/>I am writing to voice my support for the USDA’s proposal to strengthen nutrition standards for school meals. Building on the historic progress of the Healthy, Hunger-Free Kids Act, this rule proposes limiting added sugars in school meals for the very first time. School meals that are limited in added sugars and sodium and contain whole grains can help introduce healthy eating habits and can help mitigate chronic health conditions.  <br/><br/>Added Sugars: School breakfasts are far too sugary, and I applaud the USDA’s proposed cap of no more than 10 percent of calories from added sugars, which mirrors the Dietary Guidelines recommendation. I also support USDA’s product-specific added sugars limits.   <br/><br/>Sodium: While these sodium reduction goals represent progress, the final limits do not go far enough and are out of alignment with the Dietary Guidelines’ quantitative recommendations. For instance, children up to age 8 will get 83 percent of their daily recommended sodium limit from breakfast and lunch combined, leaving just 17 percent leftover for snacks and dinner. A 13-year-old will get 77 percent of their daily limit from school breakfast and lunch, and high school students will get 63 percent.  <br/><br/>Whole Grains: The two options proposed by the USDA require less than half of grains offered be whole, which is not aligned with the Dietary Guidelines’ recommendations. I encourage the USDA to strengthen the whole grain-rich requirement. <br/><br/>Healthy, wholesome meals provide children the nutrients they need to grow, develop and learn in and out of the classroom, and the 30 million kids who rely on school meals every day deserve better. It’s time to stop appeasing industry and put the health of kids first.<br/><br/>Sincerely,<br/>Jennifer mistretta<br/>Saint Petersburg, FL",,
